央视频道1,#genre#
CCTV 世界地理 HD,http://home.js001.com:7777/stream/channelid/169829115?profile=pass
CCTV 兵器科技 HD,http://home.js001.com:7777/stream/channelid/1209763785?profile=pass
CCTV 女性时尚 靓妆 HD,http://home.js001.com:7777/stream/channelid/790182847?profile=pass
CCTV 第一剧场 HD,http://home.js001.com:7777/stream/channelid/450800508?profile=pass
CCTV风云足球 HD,http://home.js001.com:7777/stream/channelid/1069494532?profile=pass
CCTV高尔夫网球,http://home.js001.com:7777/stream/channelid/1329489557?profile=pass
中广一套广播,http://home.js001.com:7777/stream/channelid/1875473557?profile=pass
央视频道4,#genre#
CCTV1,http://27.10.76.34:8008/udp/225.0.4.74:7980
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140
CCTV1,http://27.10.134.196:8001/udp/225.0.4.74:7980
CCTV1,http://125.89.163.44:8888/udp/239.77.1.17:5146
CCTV1,http://115.171.216.56:4000/udp/225.1.8.101:8080
CCTV13,http://origin.lean.org.cn:4000/udp/239.45.0.19:5140
CCTV13,http://60.7.56.50:4000/udp/239.253.92.13:8008
CCTV13,http://wouu.net:9977/udp/239.93.0.66:5140
CCTV2,http://origin.lean.org.cn:4000/udp/239.45.0.1:5140
CCTV2,http://27.10.76.34:8002/udp/225.0.4.132:7980
CCTV2,http://120.234.49.38:7000/udp/239.20.0.197:2192
CCTV2,http://27.11.52.62:8005/udp/225.0.4.132:7980
CCTV2,http://s.cdhongyuan.cn:4022/udp/239.93.1.23:6000
CCTV3,http://27.10.76.34:8007/udp/225.0.4.142:7980
CCTV3,http://vl15191373.imwork.net:8880/udp/239.93.1.11:2223
CCTV3,http://125.89.163.44:8888/udp/239.77.0.169:5146
CCTV4,http://123.180.177.20:16000/udp/239.253.93.193:6371
CCTV4,http://imzbpfrp.zzmd.fun:8888/udp/239.3.1.213:4220
CCTV4,http://27.11.52.62:8004/udp/225.0.4.176:7980
CCTV5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV5,http://27.10.76.34:8001/udp/225.0.4.143:7980
CCTV5,http://27.10.134.196:8001/udp/225.0.4.143:7980
CCTV5,http://origin.lean.org.cn:4000/udp/239.45.1.69:5140
CCTV5,http://60.7.56.50:4000/udp/239.253.92.181:6046
CCTV5+,http://115.171.216.56:4000/udp/225.1.8.20:8004
CCTV5+,http://119.129.238.239:10000/udp/239.77.0.87:5146
CCTV5+,http://125.89.163.44:8888/udp/239.77.0.87:5146
CCTV6,http://omnix.cn:4000/udp/225.1.8.84:8000
CCTV6,http://27.10.134.196:8003/udp/225.0.4.144:7980
CCTV6,http://123.180.177.20:16000/udp/239.253.92.193:6058
CCTV6,http://60.7.56.50:4000/udp/239.253.92.193:6058
CCTV6,http://wouu.net:9977/udp/239.93.1.13:2226
CCTV7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV7,http://27.10.76.34:8002/udp/225.0.4.127:7980
CCTV7,http://125.89.163.44:8888/udp/239.77.0.138:5146
CCTV7,http://119.129.238.239:10000/udp/239.77.1.159:5146
CCTV7,http://wouu.net:9977/udp/239.93.1.67:5140
CCTV8,http://27.10.134.196:8001/udp/225.0.4.137:7980
CCTV8,http://27.10.76.34:8001/udp/225.0.4.137:7980
CCTV8,http://116.128.224.11:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://vl15191373.imwork.net:8880/udp/239.93.42.39:5140
CCTV9,http://27.10.76.34:8007/udp/225.0.4.131:7980
CCTV9,http://116.128.224.11:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://27.10.134.196:8001/udp/225.0.4.131:7980
CCTV9,http://27.10.76.34:8008/udp/225.0.4.131:7980
CCTV10,http://120.237.241.82:4000/udp/239.77.1.113:5146
CCTV10,http://123.180.177.20:16000/udp/239.253.92.196:6061
CCTV10,http://wouu.net:9977/udp/239.93.1.28:5140
CCTV10,http://27.11.52.62:8004/udp/225.0.4.130:7980
CCTV11,http://vl15191373.imwork.net:8880/udp/239.93.0.102:5140
CCTV11,http://27.10.134.196:8003/udp/225.0.4.218:7980
CCTV11,http://116.128.224.11:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://27.11.52.62:8004/udp/225.0.4.7:7980
CCTV11,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://115.171.216.56:4000/udp/225.1.8.12:8124
CCTV12,http://123.180.177.20:16000/udp/239.253.92.197:6062
CCTV12,http://27.10.134.196:8003/udp/225.0.4.129:7980
CCTV12,http://120.234.49.38:7000/udp/239.20.0.201:2200
CCTV12,http://27.10.76.34:8006/udp/225.0.4.129:7980
CCTV14,http://125.89.163.44:8888/udp/239.77.0.133:5146
CCTV14,http://27.10.76.34:8006/udp/225.0.4.128:7980
CCTV14,http://wouu.net:9977/udp/239.93.1.29:6000
CCTV14,http://120.234.5.29:6000/udp/239.20.0.202:2202
CCTV15,http://60.7.56.50:4000/udp/239.253.93.154:6322
CCTV15,http://125.89.163.44:8888/udp/239.77.1.239:5146
CCTV15,http://120.234.5.29:6000/udp/239.21.0.36:3484
CCTV15,http://27.10.76.34:8002/udp/225.0.4.11:7980
CCTV16,http://119.129.238.239:10000/udp/239.77.1.76:5146
CCTV16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV世界地理,http://123.180.177.20:16000/udp/239.253.92.131:6113
CCTV世界地理,http://125.89.163.44:8888/udp/239.253.43.7:5146
CCTV世界地理,http://60.7.56.50:4000/udp/239.253.92.113:8066
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV世界地理,http://120.237.241.82:4000/udp/239.253.43.7:5146
CCTV兵器科技,http://xuys.top:8888/udp/225.1.2.166:5002
CCTV兵器科技,http://120.234.49.38:7000/udp/239.21.0.80:3660
CCTV兵器科技,http://wuqianmu.synology.me:4000/udp/232.0.0.58:1234
CCTV怀旧剧场,http://wouu.net:9977/udp/239.93.1.198:5140
CCTV怀旧剧场,http://120.234.49.38:7000/udp/239.21.0.75:3640
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV怀旧剧场,http://xuys.top:8888/udp/225.1.2.173:5002
CCTV电视指南,http://120.234.49.38:7000/udp/239.21.0.81:3664
CCTV电视指南,http://xuys.top:8888/udp/225.1.2.167:5002
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV第一剧场,http://120.234.49.38:7000/udp/239.21.0.69:3616
CCTV第一剧场,http://xuys.top:8888/udp/225.1.2.175:5002
CCTV第一剧场,http://120.234.49.38:7000/udp/239.21.0.78:3652
CCTV风云剧场,http://xuys.top:8888/udp/225.1.2.174:5002
CCTV风云足球,http://123.180.177.20:16000/udp/239.253.93.254:6432
CCTV风云足球,http://120.234.49.38:7000/udp/239.21.0.70:3620
